order_id,order_date,customer_id,product_id,quantity,unit_price,currency
O50986,2026-05-23,C036,P1019,47,62.32,EUR
O50749,2026-08-13,C027,P1008,28,10.31,EUR
O50265,23.04.2025,C002,P1020,39,4.19,EUR
O50107,2026-02-18,C030,P1035,27,31.05,EUR
O50772,2025-08-26,C023,P1002,6,5.84,eur
O50654,2026-08-12,C012,P1017,27,21.06,EUR
O50866,2025-01-13,C025,P1029,44,68.23,EUR
O50278,2025-08-27,C027,P1007,22,76.46,EUR
O50646,29.05.2025,C006,P1028,5,10.87,EUR
O50336,2025-01-10,C032,P1006,55,56.3,EUR
O50665,2026-05-09,C032,P1021,58,72.33,EUR
O50298,2026-04-10,C027,P1033,30,46.34,eur
O50526,18.02.2026,C025,P1031,1,62.13,EUR
O50089,2026-05-18,C037,P1001,19,53.71,eur
O50135,2025-10-30,C012,P1027,13,10.33,EUR
O50491,26.04.2025,C010,P1010,37,6.13,EUR
O50617,2025-09-02,C009,P1033,29,43.33,EUR
O50954,2025-10-19,C020,P1023,29,32.3,EUR
O50704,2025-03-24,C018,P1004,50,20.88,eur
O50360,10.03.2026,C029,P1005,39,61.4,eur
O51027,2025-11-18,C027,P1005,58,60.24,EUR
O51491,2025-05-05,,P1005,5,12.5,EUR
O50323,2026-02-28,C010,P1015,2,52.67,eur
O51003,23.04.2025,C035,P1036,37,46.87,EUR
O50919,2026-03-04,C031,P1003,47,26.43,EUR
O50910,2025-04-11,C013,P1027,25,11.69,EUR
O50946,2025-11-24,C035,P1001,33,52.5,EUR
O50592,2025-07-17,C006,P1033,7,43.39,EUR
O50269,29.05.2026,C009,P1004,34,20.24,EUR
O51118,06.03.2026,C020,P1036,47,48.95,EUR
O50549,06.08.2026,C040,P1012,25,45.4,EUR
O50950,2025-04-05,C039,P1004,42,20.2,EUR
O50851,05.08.2026,C008,P1024,38,15.88,EUR
O50061,2026-03-02,C027,P1014,25,20.6,EUR
O52547,2025-06-06,C003,P9999,3,9.9,EUR
O50508,2025-09-16,C028,P1018,58,49.03,EUR
O50747,19.05.2025,C013,P1036,32,46.3,EUR
O50414,2025-03-16,C001,P1005,17,58.77,EUR
O50641,25.09.2025,C040,P1024,18,17.2,eur
O51040,2026-07-15,C002,P1030,49,47.45,EUR
O50997,03.07.2025,C010,P1021,20,68.38,EUR
O51066,2025-07-04,C018,P1033,37,48.77,EUR
O50362,2025-04-22,C011,P1023,42,31.01,eur
O50084,2026-04-30,C036,P1028,22,11.03,eur
O50026,10.01.2025,C005,P1007,35,70.42,EUR
O50471,20.06.2025,C025,P1032,23,61.53,EUR
O50942,2025-06-15,C003,P1008,21,10.66,eur
O50260,2025-05-02,C026,P1007,24,77.38,EUR
O51125,2025-09-23,C004,P1008,49,10.79,EUR
O50559,2025-12-16,C015,P1004,55,21.09,eur
O50545,2025-12-03,C040,P1029,18,74.65,EUR
O50748,2026-07-29,C005,P1016,18,48.64,EUR
O50154,2026-05-31,C034,P1003,20,25.15,EUR
O51084,27.04.2025,C012,P1012,54,42.68,EUR
O50241,23.06.2026,C037,P1027,5,10.32,EUR
O50538,2026-05-25,C017,P1013,54,5.81,EUR
O51093,01.04.2026,C002,P1031,56,66.61,EUR
O51196,2026-03-09,C013,P1013,41,6.17,EUR
O51151,2025-06-23,C012,P1021,2,69.37,EUR
O50663,2025-07-31,C016,P1013,54,5.9,EUR
O50424,2026-08-04,C011,P1024,17,16.63,EUR
O51379,2025-05-05,,P1005,5,12.5,EUR
O50216,04.02.2026,C025,P1003,24,24.31,EUR
O50834,2026-07-16,C025,P1031,5,65.43,eur
O50204,23.02.2025,C036,P1024,60,14.9,EUR
O51018,2026-07-15,C034,P1002,56,5.38,eur
O50307,02.02.2025,C016,P1002,14,5.27,EUR
O50119,2026-03-27,C030,P1034,1,83.1,eur
O51030,04.12.2025,C028,P1016,14,43.86,EUR
O51049,2026-05-22,C014,P1015,13,58.76,EUR
O53380,2025-07-07,C004,P1003,-4,15.0,EUR
O50153,07.03.2025,C024,P1029,33,71.41,eur
O50976,22.03.2025,C005,P1008,2,11.01,eur
O50126,2026-08-03,C012,P1011,6,21.26,eur
O50062,13.08.2026,C001,P1031,23,64.97,eur
O50994,2026-02-14,C039,P1031,26,72.47,EUR
O50484,2025-08-21,C034,P1025,27,84.92,eur
O50757,24.02.2025,C005,P1001,25,55.38,EUR
O51129,2026-04-11,C028,P1010,54,5.95,EUR
O50104,05.07.2025,C006,P1032,31,59.57,EUR
O50301,12.03.2025,C019,P1003,27,24.01,EUR
O50835,2026-03-22,C016,P1035,12,34.35,EUR
O50530,2026-03-21,C032,P1022,23,60.97,EUR
O50957,09.03.2025,C001,P1006,27,58.19,EUR
O51403,2025-05-05,,P1005,5,12.5,EUR
O50233,2025-11-18,C008,P1016,2,48.32,eur
O50943,2025-09-24,C014,P1012,36,44.9,EUR
O50609,2026-08-03,C028,P1021,11,61.67,EUR
O51134,2025-05-13,C030,P1014,31,17.87,EUR
O50328,07.01.2025,C015,P1009,5,38.11,EUR
O51062,04.06.2025,C013,P1004,10,19.71,EUR
O50542,2025-09-20,C019,P1030,17,50.87,EUR
O50912,02.07.2025,C009,P1024,30,16.5,EUR
O50540,2026-05-08,C001,P1016,1,47.84,EUR
O50292,2026-05-30,C019,P1008,24,10.73,EUR
O50680,2026-04-03,C040,P1025,19,78.49,EUR
O50733,16.01.2026,C021,P1028,39,10.83,EUR
O51100,2026-04-25,C025,P1019,27,70.98,EUR
O51147,2025-03-28,C038,P1026,3,30.12,EUR
,2025-08-08,C005,P1002,2,15.0,EUR
O50349,29.11.2025,C019,P1001,27,52.99,EUR
O51174,2025-05-11,C034,P1015,47,57.31,EUR
O50186,2025-11-07,C023,P1004,33,19.78,eur
O50093,20.08.2025,C029,P1029,20,74.45,eur
O50003,2026-05-28,C007,P1033,56,46.79,EUR
O51067,2026-08-21,C037,P1034,12,79.12,EUR
O50303,2026-01-20,C009,P1035,42,35.42,EUR
O51140,2026-05-08,C022,P1029,51,68.94,EUR
O50699,2025-03-12,C019,P1009,8,37.69,eur
O50593,2025-03-09,C028,P1014,54,18.09,eur
O50717,28.11.2025,C039,P1018,59,52.96,EUR
O50038,2026-02-26,C011,P1018,51,51.67,eur
O50273,2026-05-16,C023,P1031,36,71.89,EUR
O51055,2025-04-08,C022,P1004,60,20.33,EUR
O50225,26.03.2025,C028,P1006,39,61.47,EUR
O50287,2026-08-05,C040,P1012,55,44.42,eur
O50558,2025-04-04,C036,P1033,14,47.01,eur
O50148,2025-02-21,C009,P1016,51,47.03,EUR
O50565,07.05.2025,C038,P1030,33,48.14,eur
O50724,08.08.2026,C034,P1032,40,63.07,EUR
O50881,2026-02-04,C022,P1010,58,5.93,EUR
O50078,2025-11-27,C018,P1006,57,56.45,eur
O50855,2026-03-08,C019,P1019,11,62.27,EUR
O50947,2026-05-01,C037,P1010,47,6.44,eur
O50629,14.06.2026,C019,P1002,6,5.41,eur
O50312,14.03.2026,C023,P1004,42,21.84,EUR
O50798,04.12.2025,C014,P1034,45,76.42,EUR
O50569,08.10.2025,C019,P1022,29,61.49,EUR
O50397,2026-07-15,C022,P1032,58,62.89,EUR
O51025,2025-07-26,C009,P1018,2,48.07,EUR
O50678,2025-12-19,C008,P1027,23,11.64,EUR
O50566,2025-01-05,C028,P1036,54,47.75,EUR
O50355,2025-11-04,C031,P1013,21,5.49,eur
O50638,18.10.2025,C013,P1017,1,21.75,EUR
O50606,2025-03-10,C013,P1007,47,74.82,EUR
O50984,2026-03-27,C023,P1012,25,42.9,EUR
O50440,2026-02-21,C023,P1035,50,31.88,EUR
O51075,2025-05-04,C028,P1032,48,64.11,EUR
O50577,29.07.2026,C033,P1016,51,48.79,EUR
O50382,2026-05-16,C037,P1006,2,59.64,EUR
O50136,2026-06-28,C017,P1011,59,21.99,eur
O50723,2025-07-02,C007,P1013,32,5.5,EUR
O50404,2026-03-09,C005,P1031,15,65.89,EUR
O50895,27.07.2025,C026,P1022,21,54.99,EUR
O50482,2026-04-02,C029,P1017,30,20.23,EUR
O50090,2025-12-15,C017,P1004,56,21.17,EUR
O50122,2026-07-09,C016,P1005,41,63.45,EUR
O51162,2025-11-04,C008,P1026,54,28.4,EUR
O51026,2026-07-18,C032,P1003,51,23.35,EUR
O50354,2026-02-10,C022,P1025,29,76.84,EUR
O50248,04.08.2025,C032,P1002,57,5.79,EUR
O50999,2026-06-01,C022,P1035,52,35.42,EUR
O50006,2025-09-03,C037,P1016,6,43.42,eur
O50477,2025-10-16,C007,P1016,4,45.74,eur
O52451,2025-06-06,C003,P9999,3,9.9,EUR
O50992,2025-03-08,C022,P1013,13,5.88,eur
O50917,2026-04-19,C028,P1001,48,57.23,EUR
O50209,2025-05-30,C019,P1003,59,26.68,EUR
O50077,2026-06-19,C031,P1035,30,33.12,EUR
O50101,28.05.2026,C006,P1029,39,65.09,eur
O50290,2025-10-01,C038,P1020,47,4.26,EUR
O50347,2026-04-01,C007,P1018,9,46.68,eur
O50376,2025-11-01,C021,P1009,8,35.31,EUR
O50893,2025-11-11,C040,P1030,11,53.95,EUR
O51046,02.04.2025,C017,P1013,45,6.12,EUR
O50833,30.06.2026,C038,P1026,27,28.89,EUR
O50237,2025-12-22,C035,P1036,19,50.09,EUR
O50027,2025-05-16,C016,P1005,24,59.46,eur
O50116,2026-04-12,C016,P1013,37,5.68,eur
O51158,2025-05-26,C011,P1035,51,32.08,eur
O50913,2025-10-04,C009,P1022,3,60.42,EUR
O50783,07.02.2026,C029,P1021,2,63.56,EUR
O50495,09.02.2025,C016,P1022,4,60.92,EUR
O51004,2026-06-03,C017,P1026,32,30.61,eur
O50150,2025-10-11,C035,P1009,17,38.66,EUR
O50745,2025-06-01,C006,P1022,31,59.27,EUR
O50787,2025-12-10,C010,P1011,12,21.8,EUR
O50466,2025-07-01,C037,P1026,3,28.61,EUR
O50701,2025-07-10,C018,P1019,9,69.69,EUR
O50771,2025-05-15,C040,P1002,40,5.46,EUR
O50521,2026-06-27,C004,P1027,56,11.62,EUR
O50631,2026-06-08,C022,P1011,60,20.73,EUR
O50500,03.06.2026,C034,P1009,57,37.28,EUR
O51109,2025-07-30,C019,P1011,46,20.69,eur
O50843,2025-01-01,C019,P1008,56,9.73,eur
O50146,2025-04-12,C023,P1035,4,32.91,EUR
O50076,19.04.2025,C030,P1024,46,15.03,EUR
O50418,14.11.2025,C004,P1016,16,43.42,eur
O50810,2025-03-09,C002,P1018,22,53.96,EUR
O51092,01.06.2025,C002,P1028,8,10.69,EUR
O50779,16.06.2026,C036,P1003,25,25.39,EUR
O50897,2025-10-08,C011,P1027,45,10.76,EUR
O50804,2025-01-12,C017,P1019,51,62.62,EUR
O50236,2026-04-08,C006,P1029,52,72.41,EUR
O50527,2026-01-18,C034,P1021,13,61.81,EUR
O50461,2025-05-14,C021,P1012,4,40.07,EUR
O50756,2025-09-19,C019,P1004,13,22.24,EUR
O50595,2025-03-17,C017,P1012,36,40.41,EUR
O50114,2025-12-15,C019,P1001,47,52.21,eur
O50840,2025-07-20,C020,P1021,37,70.25,EUR
O50797,2026-07-18,C031,P1019,9,63.21,EUR
O50187,2026-04-08,C024,P1004,54,20.51,EUR
O50164,2026-08-15,C031,P1010,15,6.38,EUR
O50217,2026-01-01,C016,P1023,47,31.23,EUR
O50571,2025-07-25,C023,P1019,59,69.22,EUR
O50741,2025-03-22,C023,P1022,57,61.6,eur
O50275,2025-05-30,C019,P1003,46,23.6,eur
O50630,2026-05-09,C027,P1015,39,51.62,EUR
O50616,18.05.2025,C033,P1033,6,45.09,EUR
O50001,2025-01-12,C018,P1035,50,34.23,EUR
O50996,2025-05-18,C004,P1007,54,68.68,EUR
O51054,2026-02-12,C028,P1025,48,80.2,EUR
O51163,2026-03-19,C021,P1033,57,47.22,EUR
O50509,2026-04-16,C030,P1014,20,19.89,eur
O50454,2025-12-19,C018,P1025,12,72.89,EUR
O50294,02.03.2026,C014,P1035,49,32.1,EUR
O50794,2025-12-06,C007,P1004,27,22.95,EUR
O50396,2026-03-16,C018,P1032,21,64.33,EUR
O51090,2025-07-15,C013,P1002,55,5.24,eur
O51110,2025-04-12,C022,P1024,53,14.99,EUR
O51194,31.05.2025,C039,P1020,22,4.07,EUR
O50058,2025-09-02,C005,P1029,46,67.89,EUR
O50373,2025-03-06,C012,P1035,24,32.52,eur
O50149,2026-07-22,C015,P1014,22,20.19,EUR
O50402,2026-03-16,C001,P1007,14,73.57,EUR
O50489,31.03.2025,C026,P1036,36,45.77,EUR
O50329,12.08.2025,C004,P1024,40,16.28,eur
O50921,2026-07-26,C014,P1027,9,10.74,EUR
O50752,2025-03-29,C016,P1004,40,22.72,EUR
O50288,2026-03-14,C026,P1006,43,53.17,EUR
O50196,27.07.2026,C009,P1022,43,60.52,EUR
O50949,2025-11-12,C040,P1026,54,28.8,EUR
O51199,2026-05-23,C015,P1001,45,51.61,EUR
O50034,2026-07-13,C038,P1024,36,15.02,EUR
O50610,15.08.2025,C024,P1018,9,51.49,EUR
O50969,2025-11-20,C024,P1018,7,50.31,EUR
O50115,02.06.2025,C031,P1035,23,32.56,eur
O50171,2025-03-25,C028,P1029,32,71.56,eur
O50047,2026-02-17,C009,P1036,13,46.49,eur
O50252,2025-11-23,C008,P1030,18,50.75,EUR
O50690,03.05.2026,C018,P1035,36,33.17,EUR
O50274,2025-10-22,C025,P1035,58,36.07,EUR
O50725,2025-02-20,C039,P1015,46,50.98,EUR
O51150,2025-05-28,C006,P1017,10,20.38,eur
O50375,2026-02-06,C023,P1023,55,30.24,EUR
O50132,2025-01-09,C019,P1032,50,64.04,EUR
O50113,2026-01-28,C009,P1033,56,42.66,eur
O50888,2025-07-17,C032,P1016,25,43.25,EUR
O50800,2026-03-14,C034,P1017,37,22.72,EUR
O50168,2025-03-13,C006,P1002,48,5.7,eur
O50543,2025-06-28,C024,P1019,52,69.27,eur
O50802,2025-10-25,C008,P1001,2,53.67,EUR
O50920,12.03.2026,C007,P1031,29,67.11,EUR
O51191,2026-06-06,C027,P1023,31,31.56,eur
O50790,25.05.2026,C001,P1035,39,35.54,EUR
O50374,2025-04-27,C034,P1032,41,59.23,eur
O50088,2026-07-01,C003,P1018,4,50.47,EUR
O50451,2025-02-05,C032,P1019,27,71.52,eur
O50915,2025-08-14,C040,P1011,58,19.77,EUR
O50776,26.03.2026,C030,P1021,57,64.3,eur
O50277,2025-05-21,C016,P1016,4,47.83,EUR
O50824,2025-02-21,C031,P1002,58,5.83,EUR
O50247,2025-06-25,C002,P1003,6,23.46,EUR
O50564,09.08.2025,C022,P1013,7,6.03,EUR
O50229,18.03.2025,C033,P1024,52,16.57,EUR
O50087,2025-04-13,C015,P1019,24,63.84,EUR
O50240,2026-07-19,C005,P1006,20,55.97,eur
O50930,2025-08-19,C018,P1023,33,31.34,EUR
O50464,24.03.2026,C012,P1021,46,72.15,EUR
O50155,04.03.2025,C028,P1026,44,28.25,eur
O50754,2025-08-03,C035,P1014,34,20.12,eur
O50634,2026-06-29,C031,P1006,43,53.49,EUR
O50987,2026-05-21,C019,P1025,30,80.24,EUR
O50805,2026-06-03,C008,P1001,44,52.51,eur
O50537,2026-03-05,C040,P1033,8,44.25,EUR
O51106,2026-05-14,C023,P1022,50,54.28,EUR
O50480,2026-04-30,C026,P1020,31,4.2,EUR
O50596,22.09.2025,C029,P1025,41,77.73,EUR
O50365,2025-12-20,C007,P1031,19,66.25,EUR
O50977,2025-02-13,C003,P1007,51,75.77,EUR
O50581,29.10.2025,C005,P1012,12,46.7,EUR
O50875,11.10.2025,C017,P1021,11,70.11,EUR
O50983,2025-04-12,C031,P1033,24,47.34,EUR
O50906,2026-01-08,C028,P1014,17,18.81,eur
O50788,2026-03-06,C029,P1020,19,4.3,EUR
O50850,2025-08-31,C035,P1027,37,10.75,EUR
O51178,12.10.2025,C029,P1035,21,30.78,EUR
O50643,2025-09-17,C026,P1023,48,28.66,EUR
O50179,2025-11-29,C024,P1030,6,50.65,EUR
O50042,2025-01-29,C012,P1017,38,22.61,EUR
O50737,2026-07-21,C003,P1007,30,72.12,EUR
O50379,2026-07-23,C019,P1032,9,57.98,eur
O50923,11.04.2026,C026,P1009,12,38.6,EUR
O50514,2025-10-30,C026,P1027,25,11.41,EUR
O50948,2025-12-13,C003,P1031,9,69.1,EUR
O50547,06.10.2025,C027,P1031,42,71.37,EUR
O50669,2025-01-13,C038,P1025,7,76.72,EUR
O50348,05.04.2026,C002,P1007,6,72.1,EUR
O50572,2026-05-31,C023,P1008,36,10.5,eur
O50377,2025-07-07,C033,P1010,25,5.96,EUR
O50024,2026-03-06,C014,P1017,43,21.77,EUR
O51021,2025-06-04,C027,P1028,21,11.96,EUR
O50325,2026-05-27,C032,P1017,47,21.52,eur
O50009,14.06.2026,C016,P1008,15,9.79,EUR
O50165,2026-07-24,C018,P1008,37,10.07,eur
O50327,2025-07-08,C003,P1034,54,84.72,EUR
O54063,2025-07-07,C004,P1003,-4,15.0,EUR
O50097,2026-04-10,C017,P1015,51,57.39,EUR
O50339,2025-07-03,C014,P1002,38,5.34,eur
O51013,2025-06-20,C028,P1024,13,15.92,EUR
O51159,23.07.2026,C001,P1003,53,25.18,EUR
O50691,13.04.2026,C035,P1034,20,85.53,eur
O50338,2025-10-05,C018,P1005,58,62.03,EUR
O50890,2026-02-20,C034,P1014,30,20.71,EUR
O50708,2025-06-12,C034,P1036,8,45.22,EUR
O50232,16.01.2026,C037,P1005,9,61.9,eur
O50189,2026-04-06,C039,P1021,31,67.07,EUR
O50399,28.03.2026,C028,P1001,13,58.31,EUR
O50458,2026-01-03,C037,P1023,37,28.68,EUR
O50359,23.02.2026,C020,P1009,16,35.39,EUR
O50865,24.01.2026,C017,P1031,10,67.5,eur
O50272,2025-10-13,C020,P1015,50,52.92,EUR
O50063,2026-03-06,C015,P1032,18,60.44,EUR
O50446,2025-05-14,C024,P1026,44,30.8,EUR
O50588,2025-10-28,C031,P1034,36,84.42,EUR
O50618,2026-05-11,C015,P1003,49,25.28,EUR
O50372,06.04.2026,C001,P1025,46,75.31,EUR
O50206,2026-03-24,C029,P1015,57,53.46,EUR
O50358,2026-07-18,C014,P1030,29,53.64,EUR
O50234,15.06.2026,C008,P1036,17,49.2,eur
O50968,2026-06-11,C007,P1012,39,45.22,EUR
O50488,2025-07-26,C021,P1017,59,21.81,EUR
O50413,01.02.2026,C035,P1024,44,15.08,eur
O50981,2026-05-28,C037,P1033,5,42.88,EUR
O50839,2025-05-31,C035,P1029,19,69.08,eur
O50030,2025-10-06,C022,P1014,14,19.92,EUR
O50313,03.03.2026,C020,P1010,25,5.73,eur
O51083,07.04.2025,C023,P1017,17,21.33,EUR
O50807,2026-05-01,C031,P1009,10,37.63,EUR
O50456,2025-06-13,C016,P1016,18,46.8,EUR
O50185,2026-08-02,C010,P1021,29,62.36,eur
O50123,2025-08-21,C007,P1028,49,11.55,EUR
O50598,2026-08-23,C023,P1005,60,61.63,EUR
O50931,2025-02-25,C023,P1024,29,15.89,EUR
O50762,2025-11-06,C018,P1033,52,42.6,EUR
O50350,2026-07-27,C011,P1034,44,78.66,EUR
O50190,2026-04-07,C006,P1022,33,59.98,EUR
O50706,30.01.2026,C003,P1016,13,46.25,EUR
O50220,2025-02-07,C003,P1013,51,5.51,EUR
O51105,2025-03-07,C008,P1028,40,10.8,EUR
O50649,2025-07-19,C034,P1033,45,43.87,EUR
O50902,04.07.2025,C020,P1006,23,56.16,EUR
O50821,2025-04-28,C033,P1036,7,44.86,EUR
O50601,2025-05-28,C001,P1024,36,16.9,EUR
O50459,2026-05-20,C032,P1012,3,40.55,EUR
O50463,2026-08-24,C020,P1022,21,55.14,EUR
O50267,2025-06-01,C037,P1003,45,23.72,EUR
O50750,2025-11-25,C020,P1002,11,6.12,eur
O50193,2025-12-09,C007,P1022,36,60.28,EUR
O50988,2026-03-31,C027,P1036,19,50.81,eur
O50406,2025-05-27,C037,P1034,1,81.64,EUR
O50554,2025-06-19,C021,P1032,16,59.4,EUR
O50498,03.10.2025,C013,P1006,29,54.24,eur
O51099,2026-04-26,C015,P1029,33,67.14,EUR
O50825,2026-01-28,C028,P1006,26,53.94,eur
O51038,2025-02-04,C032,P1006,31,59.09,EUR
O51015,2025-08-20,C038,P1007,22,71.14,eur
O50837,2026-04-01,C026,P1020,5,4.28,eur
O50004,2025-06-06,C035,P1011,50,22.32,EUR
O50599,2025-11-05,C029,P1019,25,66.19,EUR
O50733,16.01.2026,C021,P1028,39,10.83,EUR
O50032,2025-02-15,C009,P1022,41,63.15,EUR
O51044,2025-06-27,C013,P1019,6,66.41,EUR
O50052,2025-02-17,C040,P1031,55,70.09,eur
O51132,22.08.2026,C029,P1028,45,12.09,eur
O50345,2025-03-29,C005,P1016,6,44.79,eur
O51142,02.04.2025,C015,P1025,58,77.62,EUR
O50808,19.04.2026,C034,P1004,20,21.47,EUR
O50121,2025-03-24,C025,P1035,21,34.15,eur
O50300,2026-08-16,C028,P1003,23,26.15,EUR
O50769,2025-07-08,C002,P1010,49,5.86,eur
O50743,2025-11-23,C033,P1021,45,64.02,EUR
O50033,29.03.2026,C001,P1036,8,43.86,EUR
O50142,2025-02-16,C032,P1020,8,3.93,EUR
O50064,2026-02-03,C011,P1026,54,30.0,EUR
O50541,11.08.2026,C006,P1010,50,6.05,EUR
O50044,2026-06-08,C037,P1025,13,75.82,eur
O50552,2025-12-13,C016,P1028,31,11.02,eur
O50090,2025-12-15,C017,P1004,56,21.17,EUR
O50611,07.05.2026,C023,P1029,50,68.12,EUR
O50685,2025-08-29,C014,P1006,11,55.96,EUR
O50445,2025-05-24,C004,P1001,54,56.43,EUR
O50671,2026-01-10,C028,P1032,14,60.28,EUR
O50320,2025-09-06,C016,P1026,36,29.29,EUR
O50965,2026-01-18,C011,P1017,38,19.53,EUR
O50321,25.01.2026,C023,P1035,20,32.17,eur
O51144,2026-07-29,C006,P1036,13,50.58,EUR
O51122,2026-02-04,C035,P1034,19,76.48,EUR
O50570,2026-02-27,C021,P1036,46,48.91,EUR
O51138,2026-03-08,C019,P1020,14,3.99,eur
O51023,2026-02-20,C010,P1008,13,9.73,EUR
O51192,2025-07-10,C003,P1009,4,34.64,eur
O51425,2025-05-05,,P1005,5,12.5,EUR
O50584,2025-02-10,C039,P1021,4,70.03,EUR
O50505,2025-10-19,C004,P1025,11,83.49,EUR
O50586,2026-06-18,C011,P1033,27,46.18,eur
O50031,02.06.2026,C004,P1017,6,21.49,EUR
O51085,2026-03-03,C038,P1021,47,66.56,eur
O50510,2026-08-22,C033,P1001,43,58.06,EUR
O51167,2026-02-07,C035,P1005,2,65.53,eur
O50417,2025-06-09,C038,P1026,41,31.45,EUR
O51156,2025-10-03,C036,P1016,42,48.7,EUR
O50231,06.01.2026,C039,P1003,10,26.06,EUR
O50057,2026-04-06,C018,P1016,50,48.64,eur
